date,product,category,region,units_sold,revenue,cost,customer_type
2024-01-05,Widget Pro,Electronics,North,145,14500,8700,Business
2024-01-12,Widget Pro,Electronics,South,98,9800,5880,Consumer
2024-01-15,Gadget X,Electronics,East,210,31500,18900,Business
2024-01-20,Office Chair,Furniture,West,55,13750,8250,Consumer
2024-01-25,Desk Lamp,Furniture,North,180,5400,2700,Consumer
2024-02-01,Widget Pro,Electronics,East,167,16700,10020,Business
2024-02-08,Gadget X,Electronics,North,89,13350,8010,Consumer
2024-02-14,Office Chair,Furniture,South,72,18000,10800,Business
2024-02-20,Desk Lamp,Furniture,West,220,6600,3300,Consumer
2024-02-28,Widget Pro,Electronics,South,134,13400,8040,Consumer
2024-03-05,Gadget X,Electronics,West,195,29250,17550,Business
2024-03-10,Office Chair,Furniture,North,48,12000,7200,Consumer
2024-03-15,Desk Lamp,Furniture,East,155,4650,2325,Business
2024-03-22,Widget Pro,Electronics,North,201,20100,12060,Business
2024-03-28,Gadget X,Electronics,South,176,26400,15840,Consumer
2024-04-02,Office Chair,Furniture,East,63,15750,9450,Business
2024-04-10,Desk Lamp,Furniture,South,190,5700,2850,Consumer
2024-04-15,Widget Pro,Electronics,West,112,11200,6720,Consumer
2024-04-22,Gadget X,Electronics,North,230,34500,20700,Business
2024-04-30,Office Chair,Furniture,West,41,10250,6150,Consumer
2024-05-05,Desk Lamp,Furniture,North,205,6150,3075,Business
2024-05-12,Widget Pro,Electronics,East,189,18900,11340,Business
2024-05-18,Gadget X,Electronics,South,143,21450,12870,Consumer
2024-05-25,Office Chair,Furniture,North,67,16750,10050,Business
2024-05-30,Desk Lamp,Furniture,East,175,5250,2625,Consumer
2024-06-03,Widget Pro,Electronics,South,156,15600,9360,Consumer
2024-06-10,Gadget X,Electronics,West,211,31650,18990,Business
2024-06-15,Office Chair,Furniture,East,58,14500,8700,Consumer
2024-06-22,Desk Lamp,Furniture,West,240,7200,3600,Business
2024-06-28,Widget Pro,Electronics,North,178,17800,10680,Business
2024-07-05,Gadget X,Electronics,East,198,29700,17820,Consumer
2024-07-12,Office Chair,Furniture,South,75,18750,11250,Business
2024-07-18,Desk Lamp,Furniture,North,160,4800,2400,Consumer
2024-07-25,Widget Pro,Electronics,West,142,14200,8520,Consumer
2024-07-30,Gadget X,Electronics,North,225,33750,20250,Business
2024-08-05,Office Chair,Furniture,West,52,13000,7800,Consumer
2024-08-12,Desk Lamp,Furniture,South,195,5850,2925,Business
2024-08-18,Widget Pro,Electronics,East,203,20300,12180,Business
2024-08-25,Gadget X,Electronics,South,167,25050,15030,Consumer
2024-08-30,Office Chair,Furniture,North,70,17500,10500,Business
2024-09-05,Desk Lamp,Furniture,East,185,5550,2775,Consumer
2024-09-10,Widget Pro,Electronics,North,191,19100,11460,Business
2024-09-18,Gadget X,Electronics,West,240,36000,21600,Business
2024-09-22,Office Chair,Furniture,South,45,11250,6750,Consumer
2024-09-30,Desk Lamp,Furniture,West,210,6300,3150,Consumer
2024-10-05,Widget Pro,Electronics,South,168,16800,10080,Consumer
2024-10-12,Gadget X,Electronics,East,215,32250,19350,Business
2024-10-18,Office Chair,Furniture,North,82,20500,12300,Business
2024-10-25,Desk Lamp,Furniture,South,170,5100,2550,Consumer
2024-10-30,Widget Pro,Electronics,West,135,13500,8100,Consumer
